id,value,lang
940f5f7b-b3f3-4a16-948c-ec8d3077984c,我,zh
6255d8ba-70b4-422d-b139-c8eebd3817de,我的,zh
41ee2f87-3094-45d3-8398-1afa32549bba,知道,zh
2c4f81ea-c9ee-4d50-9cc6-6a135cf6fdd1,认识,zh
9752e1ad-2982-4f11-b729-d92a31531b67,的,zh
44a82591-545b-4f0b-a408-cfddede1b64c,я,ru
645ace06-e2b6-4392-8798-e2d5c2af2a1f,мой,ru
9af24408-43ae-4520-bd39-eabae1e52e93,мне,ru
d63d511a-94d1-4ad0-a2db-f385119d6f28,знать,ru
3b279369-a9f8-4db4-b00e-dffe8690a5c3,обладать информацией,ru
fc0cfd41-77b8-4a75-b2b9-1e982ba863c3,быть знакомым,ru
8cfcd753-6b9e-4f8e-a6ac-4b92b19e270e,знакомиться,ru
255f5a4a-a64f-44c0-ac04-853e85eef12a,"",ru
